amfi_code,cagr_pct
120505,32.82740607461121
119598,32.423536152454616
149324,32.287440451573616
148569,31.94952310833252
148567,30.974107501859027
120843,30.907454754005492
100033,30.12315310072722
149323,29.581086910433996
119094,28.214417193652032
119551,25.804686425584002
118632,24.049492662391756
101206,23.53836133468803
120504,23.29511862010305
148568,22.516869007113847
119552,21.524235873769705
125497,19.017795344711462
120503,18.785325598262204
102885,18.23237888770595
120506,17.08486725575018
102887,16.84112024730753
118634,16.373474033415757
118633,16.274217354504273
118635,15.957231179671737
120841,13.53221114899239
149322,13.393275924001857
125498,11.301817123279978
101207,7.938764837247714
119093,7.897557854375958
120507,7.237539728384412
120844,6.915272985067156
120842,6.701543482038463
101208,6.509026855465327
119092,6.367989237605243
119120,5.889418716346717
118636,5.316889625171273
100025,4.458209619173137
100016,2.637074367211101
119599,2.054484701809378
119095,1.5215045330823962
102886,1.1717454918341197
